units,dropout,learning_rate,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,tuner/trial_id,batch_size,val_loss,final_train_loss,final_test_loss
256,0.1,0.003827326429344195,23,8,3,1,0178,32.0,0.07540477067232132,0.05208315700292587,0.012223350815474987
288,0.30000000000000004,0.002476574578966073,8,3,4,1,0012,,0.07820748537778854,,
480,0.0,0.0014420623580721453,23,8,4,2,0129,,0.07850902527570724,,
512,0.1,0.0013762587061645062,200,0,0,0,,,0.08058162778615952,,
480,0.1,0.0020187460474604367,23,8,3,1,0183,,0.08078295737504959,,
480,0.0,0.0014420623580721453,67,23,4,3,0137,,0.08168526738882065,,
288,0.0,0.002830550401329462,8,3,4,1,0002,,0.08177294582128525,,
480,0.1,0.001834408609909959,23,8,4,2,0122,,0.08310991525650024,,
448,0.0,0.0018151801415464167,23,8,3,1,0154,,0.0834408551454544,,
320,0.30000000000000004,0.007304833004145639,8,3,4,1,0042,,0.0835370346903801,,
352,0.1,0.0021240875278594113,23,8,4,2,0128,,0.0835699737071991,,
480,0.0,0.0014420623580721453,200,67,4,4,0142,,0.08389872312545776,,
480,0.30000000000000004,0.002184863515918737,23,0,2,0,,,0.08401554077863693,,
192,0.1,0.002939362078742221,23,8,3,1,0166,,0.08402139693498611,,
384,0.30000000000000004,0.005021881893811482,200,0,0,0,,,0.08421128243207932,,
480,0.30000000000000004,0.002184863515918737,67,23,2,1,0223,,0.08460211753845215,,
224,0.30000000000000004,0.0038872252388611763,8,3,4,1,0065,,0.08466342091560364,,
480,0.30000000000000004,0.002184863515918737,200,67,2,2,0228,,0.08485312759876251,,
384,0.1,0.0008643979656783194,23,8,3,1,0171,,0.08499862998723984,,
192,0.1,0.002939362078742221,67,23,3,2,0194,,0.08510680496692657,,
480,0.1,0.001834408609909959,8,3,4,1,0066,,0.08512851595878601,,
128,0.1,0.004187878339816358,200,67,2,2,0233,,0.08514689654111862,,
384,0.1,0.0008643979656783194,67,23,3,2,0201,,0.08527513593435287,,
288,0.30000000000000004,0.002476574578966073,67,23,4,3,0131,,0.08538735657930374,,
256,0.1,0.003827326429344195,8,0,3,0,,,0.0855170413851738,,
352,0.1,0.0021240875278594113,8,3,4,1,0057,,0.08555097877979279,,
288,0.30000000000000004,0.002476574578966073,23,8,4,2,0123,,0.08557286113500595,,
448,0.0,0.0018151801415464167,67,23,3,2,0192,,0.08557543903589249,,
352,0.4,0.0014924851678938037,67,0,1,0,,,0.0856311246752739,,
448,0.2,0.0016810101581393511,23,8,3,1,0165,,0.08575257658958435,,
320,0.0,0.004988286964378102,23,0,2,0,,,0.08582746237516403,,
288,0.0,0.002830550401329462,23,8,4,2,0126,,0.0858672559261322,,
480,0.0,0.0014420623580721453,8,3,4,1,0075,,0.08616985380649567,,
192,0.2,0.005347081268660574,23,0,2,0,,,0.08624885231256485,,
192,0.1,0.002319700152524735,23,8,3,1,0173,,0.08658254891633987,,
448,0.30000000000000004,0.007457260244324495,8,0,3,0,,,0.08659126609563828,,
352,0.4,0.0014924851678938037,200,67,1,1,0237,,0.08664140850305557,,
288,0.30000000000000004,0.002476574578966073,200,67,4,4,0145,,0.08665092289447784,,
224,0.4,0.006952832162532451,23,8,4,2,0113,,0.08671636879444122,,
480,0.1,0.0020187460474604367,67,23,3,2,0191,,0.08678042143583298,,
352,0.1,0.00893157955921789,8,3,4,1,0026,,0.08683805167675018,,
224,0.30000000000000004,0.0033157143208806974,23,8,3,1,0160,,0.0868561863899231,,
384,0.1,0.0008643979656783194,200,67,3,3,0207,,0.08690854907035828,,
256,0.30000000000000004,0.0058910893688697286,8,3,4,1,0086,,0.08716117590665817,,
96,0.0,0.0025926424851734835,23,0,2,0,,,0.0874093547463417,,
128,0.1,0.004187878339816358,67,23,2,1,0227,,0.08777908235788345,,
224,0.4,0.006952832162532451,8,3,4,1,0078,,0.08800095319747925,,
320,0.30000000000000004,0.007304833004145639,23,8,4,2,0099,,0.08802257478237152,,
224,0.30000000000000004,0.0038872252388611763,23,8,4,2,0118,,0.08805488795042038,,
352,0.2,0.008643898726807743,23,0,2,0,,,0.08831323683261871,,
480,0.1,0.001834408609909959,67,23,4,3,0135,,0.08833468705415726,,
352,0.1,0.00893157955921789,23,8,4,2,0104,,0.08866121619939804,,
448,0.2,0.0038144978587477925,200,0,0,0,,,0.08872554451227188,,
320,0.0,0.004988286964378102,67,23,2,1,0212,,0.08876892924308777,,
416,0.1,0.0006236722293817921,200,67,1,1,0244,,0.08878296613693237,,
224,0.4,0.00230009078932624,23,8,3,1,0163,,0.08888182044029236,,
352,0.4,0.006396808491831081,8,3,4,1,0091,,0.08938373625278473,,
288,0.0,0.006974623964295727,8,3,4,1,0063,,0.08943604677915573,,
192,0.1,0.002939362078742221,200,67,3,3,0206,,0.08969787508249283,,
96,0.0,0.0025926424851734835,67,23,2,1,0224,,0.0897315964102745,,
384,0.4,0.004590811887281893,8,3,4,1,0084,,0.09008631855249405,,
128,0.1,0.004187878339816358,23,0,2,0,,,0.09008687734603882,,
384,0.1,0.0012988621192420286,23,8,3,1,0153,,0.09037283062934875,,
416,0.4,0.0007037773259220206,200,0,0,0,,,0.09048260003328323,,
352,0.1,0.0021240875278594113,67,23,4,3,0136,,0.09049762040376663,,
224,0.2,0.007570655706866339,23,8,3,1,0177,,0.090499646961689,,
384,0.1,0.006415340327464591,3,0,4,0,,,0.09067806601524353,,
224,0.4,0.004260330157297098,8,3,4,1,0028,,0.09111931174993515,,
352,0.2,0.008643898726807743,67,23,2,1,0221,,0.09117869287729263,,
448,0.30000000000000004,0.007457260244324495,23,8,3,1,0172,,0.09145583212375641,,
224,0.2,0.003202722536583942,8,3,4,1,0077,,0.09147661179304123,,
256,0.1,0.003827326429344195,67,23,3,2,0189,,0.0915672555565834,,
480,0.1,0.0020187460474604367,8,0,3,0,,,0.09165651351213455,,
448,0.0,0.001226397668745472,8,3,4,1,0024,,0.09194371104240417,,
416,0.1,0.0006236722293817921,67,0,1,0,,,0.09197313338518143,,
96,0.0,0.00942024499091196,8,3,4,1,0095,,0.09221088141202927,,
96,0.30000000000000004,0.005399045070752387,8,3,4,1,0022,,0.09236448258161545,,
448,0.0,0.0018151801415464167,8,0,3,0,,,0.09293349087238312,,
160,0.30000000000000004,0.003974209356331356,23,8,3,1,0185,,0.09334595501422882,,
512,0.4,0.0009168824256071197,23,0,2,0,,,0.0935526117682457,,
416,0.0,0.0053562998873030124,8,3,4,1,0007,,0.0937739759683609,,
448,0.4,0.0042717524530451806,8,3,4,1,0064,,0.09465856850147247,,
352,0.4,0.006396808491831081,23,8,4,2,0106,,0.09476566314697266,,
224,0.2,0.007570655706866339,8,0,3,0,,,0.09503677487373352,,
192,0.2,0.005347081268660574,67,23,2,1,0220,,0.09577396512031555,,
192,0.1,0.002939362078742221,8,0,3,0,,,0.09627781063318253,,
256,0.2,0.0015109090763929108,23,8,3,1,0170,,0.09633027762174606,,
352,0.4,0.0007090582191927241,23,0,2,0,,,0.09634273499250412,,
512,0.1,0.006927528298367841,8,3,4,1,0088,,0.09661411494016647,,
416,0.2,0.0034365682734906543,8,3,4,1,0014,,0.09670229256153107,,
256,0.30000000000000004,0.0058910893688697286,23,8,4,2,0117,,0.09733135253190994,,
224,0.2,0.00027450960212191183,200,0,0,0,,,0.09739142656326294,,
320,0.30000000000000004,0.007304833004145639,3,0,4,0,,,0.09744582325220108,,
224,0.30000000000000004,0.0033157143208806974,8,0,3,0,,,0.09801230579614639,,
512,0.1,0.006927528298367841,3,0,4,0,,,0.09815184772014618,,
384,0.2,0.0076493524681733455,8,3,4,1,0058,,0.09835414588451385,,
448,0.2,0.0016810101581393511,8,0,3,0,,,0.0993349552154541,,
256,0.4,0.0030702091811511826,8,3,4,1,0033,,0.09946834295988083,,
128,0.30000000000000004,0.008503259982314723,8,3,4,1,0067,,0.09947062283754349,,
256,0.2,0.00484147189732174,8,3,4,1,0051,,0.09987104684114456,,
