neurons_layer1,neurons_layer2,neurons_layer3,learning_rate,batch_size,mean_val_loss
4,4,4,0.0001,16,0.8801384925842285
4,4,4,0.0001,32,0.99014310836792
4,4,4,0.0001,64,1.036903488636017
4,4,4,0.001,16,0.853161633014679
4,4,4,0.001,32,0.7977306127548218
4,4,4,0.001,64,0.8133536338806152
4,4,8,0.0001,16,0.8454991459846497
4,4,8,0.0001,32,0.9412572503089904
4,4,8,0.0001,64,0.9749512195587158
4,4,8,0.001,16,0.7826050281524658
4,4,8,0.001,32,0.7933732986450195
4,4,8,0.001,64,0.8018014192581177
4,4,16,0.0001,16,0.8425228953361511
4,4,16,0.0001,32,0.8913394093513489
4,4,16,0.0001,64,0.9794530630111694
4,4,16,0.001,16,0.7826959729194641
4,4,16,0.001,32,0.7862223863601685
4,4,16,0.001,64,0.7898775577545166
4,8,4,0.0001,16,0.8996002197265625
4,8,4,0.0001,32,0.9011932015419006
4,8,4,0.0001,64,0.9809821248054504
4,8,4,0.001,16,0.7921442151069641
4,8,4,0.001,32,0.7866988182067871
4,8,4,0.001,64,0.7933746099472045
4,8,8,0.0001,16,0.8654146075248719
4,8,8,0.0001,32,0.944840407371521
4,8,8,0.0001,64,1.008575963973999
4,8,8,0.001,16,0.7854430317878723
4,8,8,0.001,32,0.7854942202568054
4,8,8,0.001,64,0.7936415433883667
4,8,16,0.0001,16,0.8685728430747985
4,8,16,0.0001,32,0.9130508899688721
4,8,16,0.0001,64,0.9971704602241516
4,8,16,0.001,16,0.7794169902801513
4,8,16,0.001,32,0.7866037368774415
4,8,16,0.001,64,0.7863112092018127
4,16,4,0.0001,16,0.8955607175827026
4,16,4,0.0001,32,0.9811689138412476
4,16,4,0.0001,64,0.963010025024414
4,16,4,0.001,16,0.8474450588226319
4,16,4,0.001,32,0.7879201531410217
4,16,4,0.001,64,0.7938024401664734
4,16,8,0.0001,16,0.8669509410858154
4,16,8,0.0001,32,0.9285506725311279
4,16,8,0.0001,64,0.9557002902030944
4,16,8,0.001,16,0.7823210716247558
4,16,8,0.001,32,0.7849951982498169
4,16,8,0.001,64,0.7849504709243774
4,16,16,0.0001,16,0.8438134908676147
4,16,16,0.0001,32,0.9337113738059998
4,16,16,0.0001,64,0.9956515789031982
4,16,16,0.001,16,0.7811628580093384
4,16,16,0.001,32,0.7830808877944946
4,16,16,0.001,64,0.7872988104820251
8,4,4,0.0001,16,0.891578757762909
8,4,4,0.0001,32,0.9549136400222779
8,4,4,0.0001,64,1.0500429034233094
8,4,4,0.001,16,0.7849112629890442
8,4,4,0.001,32,0.7994454979896546
8,4,4,0.001,64,0.8186844944953918
8,4,8,0.0001,16,0.8585248589515686
8,4,8,0.0001,32,0.9301881313323974
8,4,8,0.0001,64,1.0244964480400085
8,4,8,0.001,16,0.7844660758972168
8,4,8,0.001,32,0.7852498412132263
8,4,8,0.001,64,0.8033856868743896
8,4,16,0.0001,16,0.8498379230499268
8,4,16,0.0001,32,0.9488474369049072
8,4,16,0.0001,64,0.9723994255065918
8,4,16,0.001,16,0.77961665391922
8,4,16,0.001,32,0.7864192128181458
8,4,16,0.001,64,0.7880970120429993
8,8,4,0.0001,16,0.8880350112915039
8,8,4,0.0001,32,0.928520917892456
8,8,4,0.0001,64,0.9967885613441467
8,8,4,0.001,16,0.7871336936950684
8,8,4,0.001,32,0.8043117046356201
8,8,4,0.001,64,0.7967278599739075
8,8,8,0.0001,16,0.8751911997795105
8,8,8,0.0001,32,0.939749252796173
8,8,8,0.0001,64,0.9924402952194213
8,8,8,0.001,16,0.7820165514945984
8,8,8,0.001,32,0.7842305660247803
8,8,8,0.001,64,0.7993683338165283
8,8,16,0.0001,16,0.8514306545257568
8,8,16,0.0001,32,0.9394160151481629
8,8,16,0.0001,64,1.0058275222778321
8,8,16,0.001,16,0.7799967050552368
8,8,16,0.001,32,0.7820059776306152
8,8,16,0.001,64,0.786966872215271
8,16,4,0.0001,16,0.8703123569488526
8,16,4,0.0001,32,0.9203065276145935
8,16,4,0.0001,64,1.0201240062713623
8,16,4,0.001,16,0.782701826095581
8,16,4,0.001,32,0.7850234389305115
8,16,4,0.001,64,0.7940253853797913
8,16,8,0.0001,16,0.8634660601615906
8,16,8,0.0001,32,0.9679254293441772
8,16,8,0.0001,64,1.0348504543304444
8,16,8,0.001,16,0.782159423828125
8,16,8,0.001,32,0.7820087432861328
8,16,8,0.001,64,0.7877115607261658
8,16,16,0.0001,16,0.857033634185791
8,16,16,0.0001,32,0.9356852412223816
8,16,16,0.0001,64,1.0132734894752502
8,16,16,0.001,16,0.7808678627014161
8,16,16,0.001,32,0.7824578762054444
8,16,16,0.001,64,0.7887345790863037
16,4,4,0.0001,16,0.8776524186134338
16,4,4,0.0001,32,0.9349876165390014
16,4,4,0.0001,64,1.0247028470039368
16,4,4,0.001,16,0.781540596485138
16,4,4,0.001,32,0.7884644865989685
16,4,4,0.001,64,0.7895116686820984
16,4,8,0.0001,16,0.8483827829360961
16,4,8,0.0001,32,0.9021452784538269
16,4,8,0.0001,64,1.0116028308868408
16,4,8,0.001,16,0.7820687651634216
16,4,8,0.001,32,0.7833712816238403
16,4,8,0.001,64,0.7862984538078308
16,4,16,0.0001,16,0.8333906292915344
16,4,16,0.0001,32,0.9126482367515564
16,4,16,0.0001,64,1.0200170874595642
16,4,16,0.001,16,0.7815274953842163
16,4,16,0.001,32,0.7821013927459717
16,4,16,0.001,64,0.789053475856781
16,8,4,0.0001,16,0.8511615872383118
16,8,4,0.0001,32,0.9450976371765136
16,8,4,0.0001,64,1.0156639218330383
16,8,4,0.001,16,0.7831333875656128
16,8,4,0.001,32,0.7846128106117248
16,8,4,0.001,64,0.8153631210327148
16,8,8,0.0001,16,0.879734742641449
16,8,8,0.0001,32,0.9604167222976685
16,8,8,0.0001,64,1.036224937438965
16,8,8,0.001,16,0.7826378107070923
16,8,8,0.001,32,0.7841981649398804
16,8,8,0.001,64,0.7883047461509705
16,8,16,0.0001,16,0.852667224407196
16,8,16,0.0001,32,0.9440773725509644
16,8,16,0.0001,64,0.9959918141365052
16,8,16,0.001,16,0.7810346007347106
16,8,16,0.001,32,0.7812907934188843
16,8,16,0.001,64,0.7876919269561767
16,16,4,0.0001,16,0.8556681871414185
16,16,4,0.0001,32,0.933338749408722
16,16,4,0.0001,64,1.0256054997444153
16,16,4,0.001,16,0.7817718386650085
16,16,4,0.001,32,0.7844074845314026
16,16,4,0.001,64,0.7942275643348694
16,16,8,0.0001,16,0.8569176197052002
16,16,8,0.0001,32,0.9698404550552369
16,16,8,0.0001,64,1.0497026562690734
16,16,8,0.001,16,0.7795187473297119
16,16,8,0.001,32,0.784303629398346
16,16,8,0.001,64,0.7917240619659424
16,16,16,0.0001,16,0.861731767654419
16,16,16,0.0001,32,0.9715705275535583
16,16,16,0.0001,64,1.0386241316795348
16,16,16,0.001,16,0.7796378254890441
16,16,16,0.001,32,0.7815682053565979
16,16,16,0.001,64,0.7861003398895263
